Source;Target;TypeLien;Weight;AverageHash
xarratt;Choukker;Partage;0.1;00c6d0f6e2e0f0e0
xarratt;abbealdric;Partage;0.1;00c6d0f6e2e0f0e0
xarratt;Fillon2017Rueil;Partage;0.1;00c6d0f6e2e0f0e0
xarratt;Enfantdabord2;Partage;0.1;00c6d0f6e2e0f0e0
xarratt;hamalus;Partage;0.1;00c6d0f6e2e0f0e0
xarratt;AberlinJacklyne;Partage;0.1;00c6d0f6e2e0f0e0
xarratt;scorpion496;Partage;0.1;00c6d0f6e2e0f0e0
xarratt;LeGoulu;Partage;0.1;00c6d0f6e2e0f0e0
xarratt;LubacGenevieve;Partage;0.1;00c6d0f6e2e0f0e0
xarratt;leborgn90181021;Partage;0.1;00c6d0f6e2e0f0e0
xarratt;angelo_bottone;Partage;0.1;00c6d0f6e2e0f0e0
xarratt;alixgraccus1;Partage;0.1;00c6d0f6e2e0f0e0
xarratt;Valeurs;Partage;0.1;00c6d0f6e2e0f0e0
xarratt;Valeurs;Partage;0.1;00c6d0f6e2e0f0e0
xarratt;Maleblanc16;Partage;0.1;00c6d0f6e2e0f0e0
xarratt;JGrosjean7;Partage;0.1;00c6d0f6e2e0f0e0
xarratt;gregaimerparis;Partage;0.1;00c6d0f6e2e0f0e0
xarratt;Thompson_2017;Partage;0.1;00c6d0f6e2e0f0e0
